,dzielnica,powierzchnia,lPokoi,powierzchniaDzialki,rodzajZabudowy,materialBudynku,rokBudowy,stanWykonczenia,okna,rynek,lPieter,cena
5685,Dom na sprzedaż mazowieckie grodziski Jaktorów ,119 m²,4,750 m²,,inne,2021,do wykończenia,plastikowe,pierwotny,0,600 000 zł
5686,Dom na sprzedaż mazowieckie grójecki Teodorówka ,150 m²,5,1 101 m²,dworek/pałac,,2020,,,pierwotny,0,750 000 zł
5687,Dom na sprzedaż mazowieckie Warszawa Ursynów ,405 m²,6,1 600 m²,wolnostojący,,0,,,wtórny,0,3 000 000 zł
5688,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,350 m²,9,1 815 m²,wolnostojący,inne,0,,,wtórny,0,1 361 250 zł
5689,Dom na sprzedaż mazowieckie pruszkowski Rusiec ,272 m²,5,1 000 m²,wolnostojący,,2020,do wykończenia,,pierwotny,2 piętra,1 300 000 zł
5690,Dom na sprzedaż mazowieckie piaseczyński Ruda ,300 m²,7,1 800 m²,wolnostojący,cegła,2011,do zamieszkania,plastikowe,wtórny,1 piętro,1 300 000 zł
5691,Dom na sprzedaż mazowieckie sokołowski Nowa Maliszewa ,80 m²,3,5 827 m²,wolnostojący,pustak,0,do zamieszkania,,wtórny,0,220 000 zł
5692,Dom na sprzedaż mazowieckie grodziski Chylice ,142 m²,5,600 m²,bliźniak,pustak,2021,do wykończenia,plastikowe,pierwotny,1 piętro,740 000 zł
5693,Dom na sprzedaż mazowieckie żyrardowski Żyrardów ,"142,50 m²",5,477 m²,,pustak,2020,,plastikowe,wtórny,0,735 000 zł
5694,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki Dąbrowa ,300 m²,6,500 m²,bliźniak,cegła,1994,do zamieszkania,,wtórny,1 piętro,1 250 000 zł
5695,Dom na sprzedaż mazowieckie Warszawa Bemowo ,500 m²,więcej niż 10,730 m²,wolnostojący,cegła,2015,do zamieszkania,plastikowe,wtórny,2 piętra,1 950 000 zł
5696,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,125 m²,4,315 m²,bliźniak,,2021,,,pierwotny,0,850 000 zł
5697,Dom na sprzedaż mazowieckie piaseczyński Łazy Tęczowa ,"276,40 m²",5,1 000 m²,wolnostojący,,2003,do zamieszkania,plastikowe,wtórny,0,1 699 000 zł
5698,Dom na sprzedaż mazowieckie grodziski Osowiec ,190 m²,7,1 000 m²,wolnostojący,cegła,2010,do zamieszkania,plastikowe,wtórny,1 piętro,1 280 000 zł
5699,Dom na sprzedaż mazowieckie otwocki Duchnów ,716 m²,4,716 m²,szeregowiec,,2021,,plastikowe,pierwotny,1 piętro,694 000 zł
5700,Dom na sprzedaż mazowieckie Warszawa Białołęka ,225 m²,6,500 m²,,pustak,2003,do zamieszkania,drewniane,wtórny,2 piętra,1 650 000 zł
5701,Dom na sprzedaż mazowieckie Radom Janiszpol ,85 m²,3,367 m²,wolnostojący,pustak,1992,do zamieszkania,plastikowe,wtórny,1 piętro,489 000 zł
5702,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,220 m²,6,3 317 m²,wolnostojący,cegła,1915,,,wtórny,1 piętro,3 600 000 zł
5703,Dom na sprzedaż mazowieckie Warszawa Wawer ,182 m²,4,370 m²,,cegła,2000,,drewniane,wtórny,0,980 000 zł
5704,Dom na sprzedaż mazowieckie otwocki Pogorzel ,224 m²,5,1 211 m²,,cegła,1990,do remontu,,wtórny,0,329 000 zł
5705,Dom na sprzedaż mazowieckie grodziski Jaktorów ,143 m²,6,1 140 m²,bliźniak,pustak,2021,stan surowy zamknięty,,wtórny,parterowy,550 000 zł
5706,Dom na sprzedaż mazowieckie warszawski zachodni Dąbrowa ,230 m²,7,585 m²,wolnostojący,,1990,,,wtórny,3 piętra i więcej,2 300 000 zł
5707,Dom na sprzedaż mazowieckie Warszawa Mokotów ,506 m²,9,865 m²,wolnostojący,,0,,,wtórny,3 piętra i więcej,8 500 000 zł
5708,Dom na sprzedaż mazowieckie piaseczyński Czarnów ,222 m²,8,1 065 m²,wolnostojący,cegła,2001,do zamieszkania,drewniane,wtórny,1 piętro,1 340 000 zł
5709,Dom na sprzedaż mazowieckie grójecki Stamirowice ,100 m²,3,2 013 m²,wolnostojący,cegła,0,do zamieszkania,plastikowe,wtórny,parterowy,259 000 zł
5710,Dom na sprzedaż mazowieckie Warszawa Wawer Zerzeń ,314 m²,6,600 m²,,cegła,1995,,plastikowe,wtórny,0,1 390 000 zł
5711,Dom na sprzedaż mazowieckie grójecki Turowice ,200 m²,7,5 272 m²,wolnostojący,cegła,1980,do remontu,plastikowe,wtórny,1 piętro,600 000 zł
5712,Dom na sprzedaż mazowieckie pułtuski Pułtusk ,620 m²,więcej niż 10,768 m²,kamienica,cegła,1920,do zamieszkania,plastikowe,wtórny,2 piętra,3 500 000 zł
5713,Dom na sprzedaż mazowieckie Warszawa Wawer Zbytki ,192 m²,5,325 m²,bliźniak,pustak,2000,do zamieszkania,plastikowe,wtórny,1 piętro,1 250 000 zł
5714,Dom na sprzedaż mazowieckie otwocki Józefów Michalin ,200 m²,6,504 m²,bliźniak,,2008,do wykończenia,plastikowe,pierwotny,2 piętra,1 180 000 zł
5715,Dom na sprzedaż mazowieckie Warszawa Wawer Falenica ,175 m²,5,370 m²,bliźniak,,2020,do wykończenia,plastikowe,wtórny,0,960 000 zł
5716,Dom na sprzedaż mazowieckie otwocki Wiązowna Sportowa ,430 m²,7,0,wolnostojący,,1994,,,wtórny,1 piętro,1 400 000 zł
5717,Dom na sprzedaż mazowieckie warszawski zachodni Duchnice ,1 470 m²,więcej niż 10,14 600 m²,dworek/pałac,pustak,1867,do zamieszkania,,wtórny,2 piętra,7 500 000 zł
5718,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,561 m²,9,1 612 m²,wolnostojący,cegła,2002,do zamieszkania,plastikowe,wtórny,1 piętro,5 200 000 zł
5719,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,"135,07 m²",5,863 m²,wolnostojący,,2006,do zamieszkania,plastikowe,pierwotny,1 piętro,890 000 zł
5720,Dom na sprzedaż mazowieckie wołomiński Marki ,"165,50 m²",5,304 m²,bliźniak,cegła,2010,,,wtórny,1 piętro,920 000 zł
5721,Dom na sprzedaż mazowieckie Warszawa Ursynów ,178 m²,5,360 m²,bliźniak,silikat,2021,do wykończenia,plastikowe,pierwotny,1 piętro,1 699 000 zł
5722,Dom na sprzedaż mazowieckie grodziski Książenice al. Dębowa ,135 m²,4,721 m²,bliźniak,inne,2021,stan surowy zamknięty,drewniane,pierwotny,parterowy,823 500 zł
5723,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,450 m²,9,1 612 m²,wolnostojący,cegła,2002,do zamieszkania,,wtórny,1 piętro,5 200 000 zł
5724,Dom na sprzedaż mazowieckie Radom Długojów ul. Skrzydlata ,160 m²,4,870 m²,wolnostojący,,2014,do zamieszkania,plastikowe,pierwotny,1 piętro,890 000 zł
5725,Dom na sprzedaż mazowieckie Warszawa Ursynów ,638 m²,10,748 m²,wolnostojący,,2000,,,wtórny,3 piętra i więcej,2 290 000 zł
5726,Dom na sprzedaż mazowieckie piaseczyński Parcela-Obory ,164 m²,6,600 m²,bliźniak,cegła,2021,do zamieszkania,plastikowe,pierwotny,2 piętra,1 290 000 zł
5727,Dom na sprzedaż mazowieckie wołomiński Kobyłka ,157 m²,5,250 m²,,cegła,2022,do wykończenia,plastikowe,pierwotny,2 piętra,700 000 zł
5728,Dom na sprzedaż mazowieckie Warszawa Ursus ,407 m²,7,1 612 m²,wolnostojący,inne,2007,do zamieszkania,plastikowe,wtórny,1 piętro,3 600 000 zł
5729,Dom na sprzedaż mazowieckie nowodworski Czosnów ,160 m²,4,986 m²,wolnostojący,inne,2004,,plastikowe,wtórny,0,1 100 000 zł
5730,Dom na sprzedaż mazowieckie Warszawa Wawer ,"362,50 m²",4,505 m²,,inne,2000,do zamieszkania,,wtórny,2 piętra,1 100 000 zł
5731,Dom na sprzedaż mazowieckie wołomiński Kuligów ,150 m²,4,795 m²,wolnostojący,drewno,1985,,plastikowe,wtórny,0,480 000 zł
5732,Dom na sprzedaż mazowieckie Warszawa ,254 m²,6,397 m²,bliźniak,cegła,2009,do zamieszkania,plastikowe,wtórny,1 piętro,1 599 000 zł
5733,Dom na sprzedaż mazowieckie Warszawa Ursynów Grabów Kądziołeczki ,290 m²,7,770 m²,bliźniak,,2021,stan surowy zamknięty,plastikowe,wtórny,1 piętro,1 790 000 zł
5734,Dom na sprzedaż mazowieckie Warszawa ,260 m²,5,500 m²,szeregowiec,cegła,2000,do zamieszkania,plastikowe,wtórny,1 piętro,1 600 000 zł
5735,Dom na sprzedaż mazowieckie żyrardowski Kamionka ,240 m²,5,1 500 m²,wolnostojący,cegła,2019,do zamieszkania,plastikowe,pierwotny,0,725 000 zł
5736,Dom na sprzedaż mazowieckie warszawski zachodni Wyględy Osiedlowa ,148 m²,4,1 000 m²,wolnostojący,cegła,2013,do zamieszkania,plastikowe,wtórny,1 piętro,1 190 000 zł
5737,Dom na sprzedaż mazowieckie Warszawa Mokotów al. Aleja Wilanowska ,337 m²,6,380 m²,szeregowiec,,0,do zamieszkania,plastikowe,wtórny,3 piętra i więcej,1 900 000 zł
5738,Dom na sprzedaż mazowieckie pruszkowski Owczarnia ,220 m²,6,13 500 m²,wolnostojący,pustak,2010,do zamieszkania,,wtórny,1 piętro,1 580 000 zł
5739,Dom na sprzedaż mazowieckie Warszawa Mokotów Sadyba Cypriana Godebskiego ,337 m²,8,0,,inne,2007,do zamieszkania,,wtórny,3 piętra i więcej,6 500 000 zł
5740,Dom na sprzedaż mazowieckie Warszawa Wawer Anin ,"279,67 m²",6,500 m²,bliźniak,cegła,2000,do zamieszkania,,wtórny,1 piętro,2 600 000 zł
5741,Dom na sprzedaż mazowieckie miński Mińsk Mazowiecki ,100 m²,3,583 m²,bliźniak,cegła,1968,do remontu,drewniane,wtórny,parterowy,550 000 zł
5742,Dom na sprzedaż mazowieckie piaseczyński Mroków ,136 m²,5,400 m²,bliźniak,inne,2022,do wykończenia,plastikowe,pierwotny,0,619 000 zł
5743,Dom na sprzedaż mazowieckie piaseczyński Piaseczno ,149 m²,5,500 m²,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,750 000 zł
5744,Dom na sprzedaż mazowieckie grodziski Żabia Wola ,210 m²,6,1 205 m²,wolnostojący,cegła,2016,,plastikowe,wtórny,0,975 000 zł
5745,Dom na sprzedaż mazowieckie miński Chobot ,119 m²,4,700 m²,bliźniak,pustak,2021,do wykończenia,,wtórny,1 piętro,619 000 zł
5746,Dom na sprzedaż mazowieckie radomski Maków Nowy ,140 m²,5,769 m²,wolnostojący,pustak,2010,,,wtórny,1 piętro,815 000 zł
5747,,0,0,0,,,0,,,,0,0
5748,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,"134,20 m²",4,250 m²,bliźniak,cegła,2021,do wykończenia,plastikowe,pierwotny,1 piętro,589 000 zł
5749,Dom na sprzedaż mazowieckie pułtuski Pułtusk ul. Wąska ,"71,50 m²",3,500 m²,wolnostojący,pustak,1975,do zamieszkania,plastikowe,wtórny,parterowy,235 000 zł
5750,Dom na sprzedaż mazowieckie garwoliński Żelechów ul. Reymonta ,120 m²,4,312 m²,wolnostojący,drewno,1950,do zamieszkania,plastikowe,wtórny,parterowy,199 000 zł
5751,Dom na sprzedaż mazowieckie Warszawa Mokotów ,290 m²,7,457 m²,bliźniak,cegła,1963,do remontu,,wtórny,1 piętro,3 000 000 zł
5752,Dom na sprzedaż mazowieckie ostrołęcki Rzekuń Batorego ,240 m²,8,600 m²,wolnostojący,pustak,1990,do zamieszkania,plastikowe,wtórny,1 piętro,770 000 zł
5753,Dom na sprzedaż mazowieckie legionowski Poddębie ,"113,57 m²",3,700 m²,wolnostojący,inne,2014,do zamieszkania,plastikowe,wtórny,1 piętro,790 000 zł
5754,Dom na sprzedaż mazowieckie grodziski Podkowa Leśna ,232 m²,5,800 m²,wolnostojący,,1991,do zamieszkania,drewniane,wtórny,0,1 400 000 zł
5755,Dom na sprzedaż mazowieckie piaseczyński Magdalenka ,370 m²,6,1 800 m²,wolnostojący,,2007,,,wtórny,1 piętro,3 100 000 zł
5756,Dom na sprzedaż mazowieckie legionowski Legionowo ,144 m²,4,189 m²,szeregowiec,cegła,1997,do zamieszkania,,wtórny,0,750 000 zł
5757,Dom na sprzedaż mazowieckie pruszkowski Kajetany ,200 m²,4,1 170 m²,wolnostojący,cegła,2020,do zamieszkania,plastikowe,pierwotny,1 piętro,1 799 000 zł
5758,Dom na sprzedaż mazowieckie grodziski Żabia Wola ,220 m²,6,804 m²,wolnostojący,,2002,do zamieszkania,drewniane,wtórny,0,829 800 zł
5759,Dom na sprzedaż mazowieckie Warszawa Wawer Zerzeń ,150 m²,5,350 m²,wolnostojący,cegła,2021,do wykończenia,plastikowe,pierwotny,1 piętro,930 000 zł
5760,Dom na sprzedaż mazowieckie wołomiński Kobyłka ,"143,25 m²",5,120 m²,,,2021,,,pierwotny,2 piętra,650 000 zł
5761,Dom na sprzedaż mazowieckie Radom ,"642,32 m²",więcej niż 10,5 400 m²,,cegła,1985,do zamieszkania,drewniane,wtórny,2 piętra,2 999 000 zł
5762,Dom na sprzedaż mazowieckie wołomiński Zielonka ul. Marecka ,180 m²,5,300 m²,bliźniak,cegła,1990,do zamieszkania,plastikowe,wtórny,1 piętro,800 000 zł
5763,Dom na sprzedaż mazowieckie otwocki Józefów ,"110,32 m²",4,126 m²,szeregowiec,cegła,2021,do wykończenia,plastikowe,pierwotny,1 piętro,950 000 zł
5764,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,232 m²,6,500 m²,bliźniak,,2021,,plastikowe,pierwotny,2 piętra,800 000 zł
5765,Dom na sprzedaż mazowieckie mławski Wiśniewo ,145 m²,5,850 m²,wolnostojący,pustak,2009,do zamieszkania,plastikowe,wtórny,1 piętro,650 000 zł
5766,Dom na sprzedaż mazowieckie otwocki Czarnówka ,2 400 m²,6,2 400 m²,wolnostojący,pustak,2013,do zamieszkania,plastikowe,wtórny,2 piętra,1 250 000 zł
5767,Dom na sprzedaż mazowieckie lipski Sienno ,150 m²,3,15 874 m²,,,1986,do remontu,drewniane,wtórny,1 piętro,230 000 zł
5768,Dom na sprzedaż mazowieckie Warszawa Wesoła Zielona ,741 m²,10,1 254 m²,wolnostojący,cegła,1992,do remontu,plastikowe,wtórny,3 piętra i więcej,2 790 000 zł
5769,Dom na sprzedaż mazowieckie wołomiński Zielonka Mazurska ,261 m²,6,890 m²,wolnostojący,cegła,2000,do zamieszkania,plastikowe,wtórny,1 piętro,1 050 000 zł
5770,Dom na sprzedaż mazowieckie Warszawa Białołęka ,"97,50 m²",5,0,,,2021,do wykończenia,,pierwotny,2 piętra,761 953 zł
5771,,0,0,0,,,0,,,,0,0
5772,Dom na sprzedaż mazowieckie pruszkowski Kanie ,262 m²,6,847 m²,bliźniak,,2009,,,wtórny,0,1 790 000 zł
5773,Dom na sprzedaż mazowieckie grodziski Żabia Wola ,180 m²,5,850 m²,wolnostojący,beton komórkowy,2017,do wykończenia,plastikowe,pierwotny,0,675 000 zł
5774,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,220 m²,5,400 m²,,inne,2008,do zamieszkania,,wtórny,1 piętro,1 500 000 zł
5775,Dom na sprzedaż mazowieckie Warszawa Bemowo ul. Afrodyty ,250 m²,7,250 m²,szeregowiec,beton,1990,do zamieszkania,plastikowe,wtórny,3 piętra i więcej,1 990 000 zł
5776,Dom na sprzedaż mazowieckie żyrardowski Żyrardów ,850 m²,9,850 m²,wolnostojący,pustak,2002,do zamieszkania,plastikowe,wtórny,2 piętra,1 999 000 zł
5777,Dom na sprzedaż mazowieckie Warszawa Ursynów ,240 m²,5,180 m²,szeregowiec,,2000,do zamieszkania,plastikowe,wtórny,2 piętra,2 400 000 zł
5778,Dom na sprzedaż mazowieckie Warszawa Wilanów ul. Wiedeńska ,"224,69 m²",6,"338,20 m²",,,2022,,,pierwotny,2 piętra,0
5779,Dom na sprzedaż mazowieckie sochaczewski Sochaczew ,217 m²,7,800 m²,wolnostojący,beton komórkowy,2000,stan surowy otwarty,,wtórny,2 piętra,289 000 zł
5780,Dom na sprzedaż mazowieckie radomski Rajec Szlachecki ,160 m²,6,1 110 m²,wolnostojący,,0,do zamieszkania,,wtórny,1 piętro,470 000 zł
5781,Dom na sprzedaż mazowieckie Warszawa Wilanów ,618 m²,9,680 m²,,,0,,,wtórny,0,8 800 000 zł
5782,Dom na sprzedaż mazowieckie Warszawa Białołęka Choszczówka ,175 m²,4,5 800 m²,wolnostojący,cegła,1950,do zamieszkania,,wtórny,0,2 499 000 zł
5783,Dom na sprzedaż mazowieckie pruszkowski Raszyn ,280 m²,6,600 m²,wolnostojący,,1995,do zamieszkania,,wtórny,1 piętro,1 350 000 zł
5784,Dom na sprzedaż mazowieckie Warszawa Wawer ,480 m²,więcej niż 10,1 200 m²,wolnostojący,inne,1995,do zamieszkania,,wtórny,3 piętra i więcej,2 200 000 zł
5785,Dom na sprzedaż mazowieckie Warszawa Białołęka Twórcza ,"100,17 m²",5,383 m²,bliźniak,cegła,2021,do wykończenia,plastikowe,pierwotny,1 piętro,"903 624,98 zł"
5786,Dom na sprzedaż mazowieckie Warszawa Wawer Anin ,492 m²,7,946 m²,wolnostojący,cegła,2008,do zamieszkania,,wtórny,2 piętra,1 790 000 zł
5787,Dom na sprzedaż mazowieckie ostrołęcki Baranowo Henryka Sienkiewicza ,137 m²,5,1 500 m²,wolnostojący,cegła,1936,do zamieszkania,drewniane,wtórny,0,475 000 zł
5788,Dom na sprzedaż mazowieckie radomski Rajec Poduchowny ,160 m²,5,848 m²,wolnostojący,,2015,do zamieszkania,plastikowe,wtórny,1 piętro,719 000 zł
5789,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,"153,45 m²",4,318 m²,bliźniak,cegła,2021,do wykończenia,,wtórny,1 piętro,839 000 zł
5790,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,120 m²,4,350 m²,bliźniak,cegła,2021,do wykończenia,plastikowe,pierwotny,1 piętro,649 000 zł
5791,Dom na sprzedaż mazowieckie miński Okuniew ul. Źródlana ,"170,90 m²",5,425 m²,bliźniak,cegła,2012,do zamieszkania,plastikowe,wtórny,parterowy,869 000 zł
5792,Dom na sprzedaż mazowieckie otwocki Otwock Józefa Ignacego Kraszewskiego ,158 m²,5,280 m²,szeregowiec,,2021,do zamieszkania,plastikowe,pierwotny,2 piętra,2 035 000 zł
5793,Dom na sprzedaż mazowieckie węgrowski Sadowne ,200 m²,7,0,wolnostojący,,0,,,wtórny,1 piętro,497 000 zł
5794,Dom na sprzedaż mazowieckie Warszawa Mokotów ,600 m²,więcej niż 10,373 m²,,inne,2012,do zamieszkania,,wtórny,2 piętra,3 500 000 zł
5795,Dom na sprzedaż mazowieckie Warszawa Białołęka ,380 m²,7,1 800 m²,,cegła,2000,do zamieszkania,drewniane,wtórny,1 piętro,2 350 000 zł
5796,Dom na sprzedaż mazowieckie otwocki Józefów ,750 m²,9,1 200 m²,,cegła,2008,do zamieszkania,,wtórny,2 piętra,4 500 000 zł
5797,Dom na sprzedaż mazowieckie Warszawa Wawer Trakt Lubelski ,397 m²,6,290 m²,szeregowiec,cegła,2002,,drewniane,wtórny,0,1 300 000 zł
5798,Dom na sprzedaż mazowieckie otwocki Góraszka ul. Krótka ,240 m²,6,400 m²,,,0,,,wtórny,0,1 430 000 zł
5799,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,1 023 m²,więcej niż 10,8 600 m²,wolnostojący,cegła,0,,,pierwotny,0,11 900 000 zł
5800,Dom na sprzedaż mazowieckie Warszawa Wilanów ,300 m²,8,310 m²,wolnostojący,,0,,,wtórny,1 piętro,3 100 000 zł
5801,Dom na sprzedaż mazowieckie pruszkowski Granica ,115 m²,4,749 m²,wolnostojący,,1930,,,wtórny,1 piętro,849 000 zł
5802,Dom na sprzedaż mazowieckie grodziski Żabia Wola ,240 m²,10,1 130 m²,wolnostojący,beton komórkowy,2009,do zamieszkania,plastikowe,wtórny,0,1 420 000 zł
5803,Dom na sprzedaż mazowieckie legionowski Legionowo ul. Władysława Reymonta ,327 m²,6,885 m²,wolnostojący,pustak,2000,do zamieszkania,drewniane,wtórny,1 piętro,1 500 000 zł
5804,Dom na sprzedaż mazowieckie Warszawa Białołęka ,"97,50 m²",5,190 m²,,,2021,do wykończenia,,pierwotny,2 piętra,761 953 zł
5805,Dom na sprzedaż mazowieckie płoński Czerwińsk nad Wisłą ,353 m²,7,5 000 m²,,,0,,,wtórny,0,2 500 000 zł
5806,Dom na sprzedaż mazowieckie Warszawa Ursynów Trombity ,370 m²,6,955 m²,wolnostojący,,2008,do zamieszkania,aluminiowe,wtórny,1 piętro,2 190 000 zł
5807,Dom na sprzedaż mazowieckie warszawski zachodni Wierzbin ,265 m²,4,1 280 m²,,,0,,,wtórny,0,1 000 000 zł
5808,Dom na sprzedaż mazowieckie Warszawa Wilanów ,587 m²,7,30 297 m²,wolnostojący,,2017,do zamieszkania,,wtórny,3 piętra i więcej,4 200 000 zł
5809,Dom na sprzedaż mazowieckie piaseczyński Zgorzała ,75 m²,4,80 m²,szeregowiec,silikat,2021,do wykończenia,plastikowe,pierwotny,2 piętra,465 600 zł
5810,Dom na sprzedaż mazowieckie nowodworski Leoncin ,"194,80 m²",6,2 700 m²,wolnostojący,,2012,,drewniane,wtórny,1 piętro,599 000 zł
5811,Dom na sprzedaż mazowieckie wyszkowski Kamieńczyk ,97 m²,4,1 033 m²,wolnostojący,drewno,2003,do zamieszkania,plastikowe,wtórny,parterowy,359 000 zł
5812,Dom na sprzedaż mazowieckie legionowski Chotomów ,150 m²,4,740 m²,,inne,2021,,plastikowe,pierwotny,0,690 000 zł
5813,Dom na sprzedaż mazowieckie piaseczyński Nowy Prażmów ,6 500 m²,4,0,wolnostojący,inne,0,do zamieszkania,plastikowe,wtórny,0,550 000 zł
5814,Dom na sprzedaż mazowieckie wyszkowski Nowy Lubiel ,"141,52 m²",6,4 500 m²,,drewno,2009,do zamieszkania,,wtórny,1 piętro,1 170 000 zł
5815,Dom na sprzedaż mazowieckie Siedlce ,750 m²,więcej niż 10,6 000 m²,wolnostojący,,0,,,wtórny,1 piętro,2 980 000 zł
5816,Dom na sprzedaż mazowieckie makowski Płoniawy-Bramura ,180 m²,6,202 m²,bliźniak,cegła,1997,do zamieszkania,plastikowe,wtórny,1 piętro,299 000 zł
5817,Dom na sprzedaż mazowieckie Warszawa Wilanów Pałacowa ,327 m²,5,500 m²,wolnostojący,,2012,,,wtórny,2 piętra,3 700 000 zł
5818,Dom na sprzedaż mazowieckie Warszawa Wawer ul. Cyklamenów ,"139,47 m²",5,280 m²,szeregowiec,,2022,do wykończenia,,pierwotny,2 piętra,0
5819,Dom na sprzedaż mazowieckie wołomiński Radzymin Walerego Wróblewskiego ,"279,50 m²",5,1 791 m²,wolnostojący,,1995,do zamieszkania,plastikowe,wtórny,2 piętra,1 250 000 zł
5820,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki Dolne ,170 m²,5,1 000 m²,wolnostojący,cegła,2021,do wykończenia,,pierwotny,1 piętro,989 000 zł
5821,Dom na sprzedaż mazowieckie Warszawa Ursynów Pyry Gajdy ,"164,60 m²",5,348 m²,bliźniak,pustak,2013,do zamieszkania,,wtórny,2 piętra,1 690 000 zł
5822,Dom na sprzedaż mazowieckie Siedlce ,"232,30 m²",6,5 631 m²,wolnostojący,inne,2008,do zamieszkania,plastikowe,wtórny,0,1 200 000 zł
5823,Dom na sprzedaż mazowieckie nowodworski Pomiechówek ,270 m²,6,3 200 m²,wolnostojący,pustak,1991,do wykończenia,drewniane,wtórny,1 piętro,420 000 zł
5824,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,145 m²,4,271 m²,,beton komórkowy,2021,,plastikowe,pierwotny,0,608 900 zł
5825,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,"88,18 m²",4,451 m²,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,569 000 zł
5826,Dom na sprzedaż mazowieckie grójecki Grójec ,155 m²,5,225 m²,,pustak,2020,do wykończenia,plastikowe,pierwotny,1 piętro,550 000 zł
5827,Dom na sprzedaż mazowieckie nowodworski Czosnów ,300 m²,5,3 000 m²,,,2008,do zamieszkania,,wtórny,1 piętro,1 300 000 zł
5828,Dom na sprzedaż mazowieckie pruszkowski Komorów ,164 m²,6,819 m²,wolnostojący,cegła,1992,do remontu,drewniane,wtórny,1 piętro,860 000 zł
5829,Dom na sprzedaż mazowieckie Warszawa Mokotów ,380 m²,6,268 m²,,cegła,1960,do zamieszkania,,wtórny,1 piętro,2 800 000 zł
5830,Dom na sprzedaż mazowieckie Warszawa Wawer ul. Lebiodowa ,200 m²,8,400 m²,bliźniak,cegła,2003,do zamieszkania,drewniane,wtórny,1 piętro,1 950 000 zł
5831,Dom na sprzedaż mazowieckie Warszawa Wawer ,203 m²,7,330 m²,bliźniak,pustak,2021,do wykończenia,plastikowe,pierwotny,2 piętra,899 000 zł
5832,Dom na sprzedaż mazowieckie grodziski Żabia Wola ,350 m²,7,2 600 m²,wolnostojący,,2012,,,wtórny,1 piętro,1 600 000 zł
5833,Dom na sprzedaż mazowieckie pruszkowski Otrębusy ul. Podleśna ,537 m²,więcej niż 10,1 041 m²,,,0,,,wtórny,1 piętro,1 700 000 zł
5834,Dom na sprzedaż mazowieckie Warszawa Ursynów Pyry ,"216,59 m²",5,0,wolnostojący,,2019,do wykończenia,,pierwotny,parterowy,2 119 000 zł
5835,Dom na sprzedaż mazowieckie Warszawa Wesoła Zielona ,240 m²,7,440 m²,szeregowiec,,1994,do zamieszkania,plastikowe,wtórny,2 piętra,1 320 000 zł
5836,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ul. Jaworowa ,130 m²,5,125 m²,szeregowiec,beton komórkowy,2021,do wykończenia,plastikowe,pierwotny,2 piętra,529 000 zł
5837,Dom na sprzedaż mazowieckie miński Sulejówek Miłosna Łomżyńska ,150 m²,2,483 m²,,cegła,1970,,,wtórny,0,799 000 zł
5838,Dom na sprzedaż mazowieckie legionowski Jabłonna ,222 m²,6,1 200 m²,wolnostojący,beton,2021,do wykończenia,,wtórny,2 piętra,920 000 zł
5839,Dom na sprzedaż mazowieckie legionowski Michałów-Grabina ,142 m²,6,370 m²,bliźniak,cegła,2021,do wykończenia,plastikowe,pierwotny,1 piętro,799 000 zł
5840,Dom na sprzedaż mazowieckie sokołowski Łubianki ,"178,90 m²",5,3 200 m²,wolnostojący,pustak,2015,do wykończenia,,wtórny,1 piętro,799 000 zł
5841,Dom na sprzedaż mazowieckie Warszawa Ursynów ,233 m²,6,911 m²,,cegła,2019,do wykończenia,,pierwotny,0,1 350 000 zł
5842,Dom na sprzedaż mazowieckie warszawski zachodni Kampinos ,180 m²,5,17 699 m²,wolnostojący,drewno,2009,do zamieszkania,drewniane,wtórny,2 piętra,2 375 000 zł
5843,Dom na sprzedaż mazowieckie Warszawa Wilanów ,350 m²,5,470 m²,wolnostojący,cegła,1986,do zamieszkania,drewniane,wtórny,1 piętro,2 700 000 zł
5844,Dom na sprzedaż mazowieckie Warszawa Bemowo ,130 m²,4,500 m²,,,0,,,pierwotny,0,720 000 zł
5845,Dom na sprzedaż mazowieckie grodziski Osowiec ,200 m²,5,1 200 m²,wolnostojący,cegła,2016,do zamieszkania,drewniane,wtórny,1 piętro,980 000 zł
